Game,Revenue,Year,Month,Day,Publisher(s),Genre(s)
Honor of Kings / Arena of Valor,1.47E+10,2015,11,26,Tencent Games,MOBA
Monster Strike,1.00E+10,2013,08,08,Mixi,Puzzle / RPG / Strategy
PUBG Mobile,9.00E+09,2018,03,19,Tencent Games / Krafton / VNG Games,Battle royale
Puzzle & Dragons,8.58E+09,2012,02,20,GungHo Online Entertainment,RPG / Puzzle
Clash of Clans,8.00E+09,2012,08,02,Supercell (Tencent),Strategy
Pokemon Go,7.76E+09,2016,07,06,Niantic / The Pok̩mon Company,Augmented reality
Candy Crush Saga,7.46E+09,2012,11,14,King (Activision Blizzard),Puzzle
Fate/Grand Order,6.30E+09,2015,07,30,Aniplex (Sony Music Entertainment Japan),RPG
Fantasy Westward Journey,4.70E+09,2015,03,26,NetEase,MMORPG
Garena Free Fire,4.33E+09,2017,12,04,Garena,Battle royale
Roblox Mobile,3.92E+09,2012,12,11,Roblox Corporation,GCS / MMO
Genshin Impact,3.57E+09,2020,09,28,miHoYo,Action RPG
Lineage M,3.58E+09,2017,06,21,NCsoft,MMORPG
Dragon Ball Z: Dokkan Battle,3.50E+09,2015,01,30,Bandai Namco Entertainment,RPG / Puzzle
Coin Master,3.01E+09,2018,03,19,Moon Active,Casual / Casino
Clash Royale,3.00E+09,2016,03,02,Supercell (Tencent),Real-time strategy
Gardenscapes,3.00E+09,2016,07,05,Playrix,Puzzle / Decoration
Game of War: Fire Age,2.80E+09,2013,07,25,Machine Zone,Strategy
Lords Mobile,2.58E+09,2016,02,26,IGG,Strategy / MMO
Homescapes,2.29E+09,2017,09,15,Playrix,Puzzle / Decoration
Pro Baseball Spirits,2.20E+09,2015,10,21,Konami,Sports (baseball)
Lineage 2: Revolution,2.11E+09,2016,12,14,Netmarble Games / NCsoft,MMORPG
Candy Crush Soda Saga,2.00E+09,2014,10,20,King (Activision Blizzard),Puzzle
Three Kingdoms Tactics,1.94E+09,2019,09,19,Alibaba Group / Koei Tecmo,Strategy (4X)
Marvel Contest of Champions,1.78E+09,2014,12,10,Kabam (Netmarble),Fighting
Toon Blast,1.60E+09,2017,03,03,Peak Games,Puzzle
Disney Tsum Tsum,1.50E+09,2014,01,29,LINE,Puzzle
Call of Duty: Mobile,1.50E+09,2019,10,01,Activision / Tencent / Garena,Shooter / Battle royale
Knives Out,1.49E+09,2017,11,23,NetEase,Battle royale
AFK Arena,1.45E+09,2019,01,07,Lilith Games,RPG
Lineage 2 M,1.41E+09,2019,11,27,NCsoft,MMORPG
Hay Day,1.40E+09,2012,06,21,Supercell (Tencent),Simulation
Brawl Stars,1.40E+09,2018,12,12,Supercell (Tencent),MOBA
Summoners War: Sky Arena,1.35E+09,2014,06,12,Com2Us,TBS / MMO
Fortnite,1.20E+09,2018,04,02,Epic Games,Battle royale
Onmyoji,1.13E+09,2016,06,20,NetEase,RPG
Star Wars: Galaxy of Heroes,1.07E+09,2015,11,24,Electronic Arts,RPG
Boom Beach,1.00E+09,2013,11,11,Supercell (Tencent),Strategy
Mobile Strike,1.00E+09,2015,07,11,Machine Zone,Strategy
Mobile Legends: Bang Bang,1.00E+09,2016,07,11,Moonton (ByteDance),MOBA
Fire Emblem Heroes,1.00E+09,2017,02,02,Nintendo,Tactical RPG
Uma Musume Pretty Derby,9.90E+08,2021,02,24,Cygames,Simulation / Social
QQ Speed Mobile / Speed Drifters,9.45E+08,2017,06,15,Tencent Games / Garena,Racing (Kart / MMOR)
Dragon Ball Legends,9.30E+08,2018,05,18,Bandai Namco Entertainment,Action RPG
Dragon Quest Walk,9.28E+08,2019,09,12,Square Enix,Augmented reality
Rise of Kingdoms,9.26E+08,2018,09,20,Lilith Games,Strategy
Fishdom,9.24E+08,2015,12,10,Playrix,Puzzle
Township,9.22E+08,2012,02,24,Playrix,Simulation (CMS)
A Chinese Ghost Story,8.60E+08,2016,05,19,NetEase,MMORPG
Marvel Strike Force,8.46E+08,2018,03,28,FoxNext / Scopely,RPG
Toy Blast,8.20E+08,2015,01,06,Peak Games,Puzzle
Granblue Fantasy,7.54E+08,2014,03,10,Cygames,RPG
Honkai Impact 3rd,7.31E+08,2016,10,14,miHoYo,ARPG / Hack & slash
King of Avalon,7.21E+08,2016,07,14,FunPlus,Strategy
Clash of Kings,7.00E+08,2014,06,14,Elex Tech,Strategy / MMO
The Seven Deadly Sins: Grand Cross,6.80E+08,2019,06,04,Netmarble,RPG
Hearthstone,6.60E+08,2014,04,16,Blizzard (Activision Blizzard),DCCG
The Battle Cats,6.00E+08,2012,11,01,PONOS Corporation,Real Time Strategy
The Idolmaster Cinderella Girls: Starlight Stage,5.24E+08,2015,09,03,Bandai Namco Entertainment,DCCG / Rhythm
Final Fantasy XV: A New Empire,5.18E+08,2017,06,29,Machine Zone / Square Enix,Strategy
Guns of Glory,5.10E+08,2017,09,08,FunPlus,Strategy MMORPG
League of Legends: Wild Rift,5.05E+08,2020,10,27,Riot Games (Tencent),MOBA
Minecraft,5.00E+08,2011,11,18,Mojang Studios,Sandbox / Survival
Crossfire Mobile,4.58E+08,2015,12,03,Smilegate / Tencent,Tactical FPS
Blade & Soul Revolution,4.57E+08,2018,12,06,Netmarble,MMORPG
Bingo Blitz,4.43E+08,2012,08,12,Playtika,Online Bingo
Harry Potter: Hogwarts Mystery,4.01E+08,2018,04,25,Jam City (Netmarble),RPG
8 Ball Pool,4.00E+08,2010,10,15,Miniclip,Sports (pool)
Harry Potter: Magic Awakened,3.58E+08,2021,09,09,NetEase / Portkey Games,RPG
Angry Birds 2,3.33E+08,2015,07,30,Rovio Entertainment,Physics / Puzzle
FIFA Mobile / FIFA Soccer,3.09E+08,2016,10,11,EA Sports (Electronic Arts),Sports (association football)
Lineage W,3.03E+08,2021,11,04,NCsoft,MMORPG
Black Desert Mobile,3.00E+08,2019,06,15,Kakao Games,MMORPG
Yu-Gi-Oh! Duel Links,2.84E+08,2016,11,17,Konami,Digital collectible card game
Mario Kart Tour,2.82E+08,2019,09,25,Nintendo,Racing (Kart)
Animal Crossing: Pocket Camp,2.82E+08,2017,10,25,Nintendo,Simulation (Social)
#COMPASS,2.81E+08,2016,12,17,NHN PlayArt / Dwango,MOBA
Raid: Shadow Legends,2.47E+08,2018,07,29,Plarium,RPG
Star Trek Fleet Command,2.22E+08,2018,11,29,Scopely / CBS Interactive,Strategy (4X)
Project Makeover,2.18E+08,2020,11,27,Bubblegum Games,Puzzle / Decoration
Harry Potter: Puzzles & Spells,2.18E+08,2020,09,22,Portkey Games / Zynga,Puzzle
DomiNations,2.00E+08,2015,04,01,Big Huge Games,Strategy
Candy Crush Friends Saga,2.00E+08,2018,10,10,King (Activision Blizzard),Puzzle
Top War,1.92E+08,2019,12,31,Topwar Studio,Strategy
Empire & Puzzles,1.86E+08,2017,03,01,Small Giant Games,Puzzle / RPG
KartRider Rush+,1.69E+08,2020,05,31,Nexon,Racing (Kart)
Dragalia Lost,1.68E+08,2018,09,27,Nintendo,Action RPG
Perfect World Mobile,1.65E+08,2019,03,05,Perfect World Games / Tencent,MMORPG
Three Kingdoms Fantasy Land,1.62E+08,2020,06,20,Alibaba Group,Strategy (auto battler)
Candy Crush Jelly Saga,1.58E+08,2015,08,28,King (Activision Blizzard),Puzzle
Jikkyu Powerful Pro Yakyu,1.55E+08,2014,12,18,Konami,Sports (baseball)
Puzzles & Survival,1.51E+08,2020,10,02,37Games,Puzzle / Strategy
Slotomania,1.49E+08,2011,11,07,Playtika,Simulation (Slot)
NBA Live Mobile,1.40E+08,2016,07,06,EA Sports (Electronic Arts),Sports (basketball)
White Cat Project,1.34E+08,2014,07,14,Colopl,Action RPG
BanG Dream! Girls Band Party!,1.24E+08,2017,03,16,Bushiroad,Rhythm / Adventure
CSR Racing 2,1.22E+08,2016,06,29,NaturalMotion (Zynga),Racing
One Piece: Burning Will,1.17E+08,2018,09,20,Bandai Namco / Alibaba Group,RPG
One Piece: The Road of the Strong,1.14E+08,2016,01,15,CMGE,DCCG
Yahtzee With Buddies,1.13E+08,2017,11,01,Scopely,Yahtzee
Dragon Quest Tact,1.12E+08,2020,07,16,Square Enix,Tactical RPG
Fallout Shelter,1.00E+08,2015,06,14,Bethesda Softworks,Simulation (CMS)
Mafia City,1.00E+08,2017,07,25,Yotta Games,RPG
Madden NFL Overdrive,1.00E+08,2018,08,15,EA Sports (Electronic Arts),Sports (American football)
